gutenberg_id,text
1514,"Their wonted liveries; and the maz'd world,"
1514,"By their increase, now knows not which is which:"
1514,And this same progeny of evils comes
1514,"From our debate, from our dissension:"
1514,We are their parents and original.
1514,
1514,OBERON
1514,"Do you amend it, then: it lies in you:"
1514,Why should Titania cross her Oberon?
1514,I do but beg a little changeling boy
1514,To be my henchman.
1514,
1514,TITANIA
1514,                   Set your heart at rest;
1514,The fairy-land buys not the child of me.
1514,His mother was a vot'ress of my order:
1514,"And, in the spiced Indian air, by night,"
1514,Full often hath she gossip'd by my side;
1514,"And sat with me on Neptune's yellow sands,"
1514,Marking the embarked traders on the flood;
1514,"When we have laugh'd to see the sails conceive,"
1514,And grow big-bellied with the wanton wind;
1514,"Which she, with pretty and with swimming gait"
1514,"Following,--her womb then rich with my young squire,--"
1514,"Would imitate; and sail upon the land,"
1514,"To fetch me trifles, and return again,"
1514,"As from a voyage, rich with merchandise."
1514,"But she, being mortal, of that boy did die;"
1514,And for her sake do I rear up her boy:
1514,And for her sake I will not part with him.
1514,
1514,OBERON
1514,How long within this wood intend you stay?
1514,
1514,TITANIA
1514,Perchance till after Theseus' wedding-day.
1514,"If you will patiently dance in our round,"
1514,"And see our moonlight revels, go with us;"
1514,"If not, shun me, and I will spare your haunts."
1514,
1514,OBERON
1514,Give me that boy and I will go with thee.
1514,
1514,TITANIA
1514,"Not for thy fairy kingdom. Fairies, away:"
1514,We shall chide downright if I longer stay.
1514,
1514,[Exit TITANIA with her Train.]
1514,
1514,OBERON
1514,"Well, go thy way: thou shalt not from this grove"
1514,Till I torment thee for this injury.--
1514,"My gentle Puck, come hither: thou remember'st"
1514,"Since once I sat upon a promontory,"
1514,"And heard a mermaid, on a dolphin's back,"
1514,"Uttering such dulcet and harmonious breath,"
1514,"That the rude sea grew civil at her song,"
1514,And certain stars shot madly from their spheres
1514,To hear the sea-maid's music.
1514,
1514,PUCK
1514,                              I remember.
1514,
1514,OBERON
1514,"That very time I saw,--but thou couldst not,--"
1514,"Flying between the cold moon and the earth,"
1514,"Cupid, all arm'd: a certain aim he took"
1514,"At a fair vestal, throned by the west;"
1514,"And loos'd his love-shaft smartly from his bow,"
1514,As it should pierce a hundred thousand hearts;
1514,But I might see young Cupid's fiery shaft
1514,Quench'd in the chaste beams of the watery moon;
1514,"And the imperial votaress passed on,"
1514,"In maiden meditation, fancy-free."
1514,Yet mark'd I where the bolt of Cupid fell:
1514,"It fell upon a little western flower,--"
1514,"Before milk-white, now purple with love's wound,--"
1514,And maidens call it love-in-idleness.
1514,"Fetch me that flower, the herb I showed thee once:"
1514,The juice of it on sleeping eyelids laid
1514,Will make or man or woman madly dote
1514,Upon the next live creature that it sees.
1514,Fetch me this herb: and be thou here again
1514,Ere the leviathan can swim a league.
1514,
1514,PUCK
1514,I'll put a girdle round about the earth
1514,In forty minutes.
1514,
1514,[Exit PUCK.]
1514,
1514,OBERON
1514,"                  Having once this juice,"
1514,"I'll watch Titania when she is asleep,"
1514,And drop the liquor of it in her eyes:
1514,"The next thing then she waking looks upon,--"
1514,"Be it on lion, bear, or wolf, or bull,"
1514,"On meddling monkey, or on busy ape,--"
1514,She shall pursue it with the soul of love.
1514,"And ere I take this charm from off her sight,--"
1514,"As I can take it with another herb,"
1514,I'll make her render up her page to me.
1514,But who comes here? I am invisible;
1514,And I will overhear their conference.
1514,
1514,"[Enter DEMETRIUS, HELENA following him.]"
1514,
1514,DEMETRIUS
1514,"I love thee not, therefore pursue me not."
1514,Where is Lysander and fair Hermia?
1514,"The one I'll slay, the other slayeth me."
1514,"Thou told'st me they were stol'n into this wood,"
1514,"And here am I, and wode within this wood,"
1514,Because I cannot meet with Hermia.
1514,"Hence, get thee gone, and follow me no more."
1514,
1514,HELENA
1514,"You draw me, you hard-hearted adamant;"
1514,"But yet you draw not iron, for my heart"
1514,"Is true as steel. Leave you your power to draw,"
1514,And I shall have no power to follow you.
1514,
1514,DEMETRIUS
